Date;USD;EUR;GBP;INR;AED;CNY
1978;193.44;1.247.358;10.065.449;;;
1979;304.68;18.506.142;14.309.014;248.190.512;116.393.597;
1980;614.5;37.819.461;26.380.259;483.174.943;22.783.679.500.000.000;
1981;459.26;36.090.588;22.701.948;39.666.479;169.103.194;
1982;375.3;34.559.742;21.553.232;35.536.268;13.787.289.500.000.000;
1983;423.66;43.989.318;27.924.936;427.042.821;15.574.579;
1984;360.78;425.91;26.981.553;406.760.433;13.247.227.200.000.000;
1985;317.3;39.408.922;24.628.501;38.873.927;11.621.977.800.000.000;9.266.451.800.000.000
1986;367.85;35.134.774;25.112.483;46.250.699;13.519.247.400.000.000;12.723.885.400.000.000
1987;446.22;36.606.607;27.249.236;576.191.787;164.152.338;16.596.001.500.000.000
1988;436.86;35.212.732;24.562.804;603.939.391;160.397.099;16.261.203.400.000.000
1989;380.82;32.548.985;23.274.627;614.871.301;13.998.051.600.000.000;14.343.058.500.000.000
1990;383.56;28.294.628;21.596.014;669.762.037;140.779.204;182.711.273
1991;362.26;2.784.072;20.550.722;82.257.496;13.295.838.600.000.000;192.740.253
1992;343.95;25.337.085;19.554.612;963.693.952;12.629.233.900.000.000;190.241.839
1993;359.82;301.327;23.971.266;1.120.355.009;132.204.967;20.771.915.900.000.000
1994;384.15;31.936.006;25.080.356;120.518.481;1.396.444;330.627.489
1995;384.05;29.193.644;24.334.273;124.392.634;141.056.247;32.069.274
1996;387.87;30.088.347;24.889.782;137.213.606;142.456.482;3.224.913
1997;331.29;29.248.136;20.237.806;120.060.735;121.671.937;274.644.528
1998;294.09;26.428.112;17.746.076;121.326.106;108.016.664;243.472.504
1999;278.57;26.140.884;17.209.825;119.941.629;10.231.838;230.610.273
2000;279.1;30.274.148;184.342;125.321.612;102.512.139;231.052.124
2001;271.04;30.286.333;18.825.986;127.884.389;99.550.618;224.338.052
2002;309.68;32.797.053;2.061.346;150.419.773;113.744.154;256.318.651
2003;363.32;32.123.011;22.221.281;169.049.105;13.344.564;300.722.538
2004;409.17;32.916.103;22.337.467;18.523.913;150.286.101;33.865.759
2005;444.45;35.833.936;24.485.235;195.991.786;163.240.021;363.950.066
2006;603.77;48.059.317;32.768.464;273.586.381;221.761.429;481.331.894
2007;695.39;50.681.233;34.700.424;286.889.728;255.359.494;52.845.879
2008;871.96;59.319.118;47.159.251;377.675.602;320.259.423;606.427.531
2009;972.35;69.701.955;62.118.976;47.001.532;357.135.929;664.212.299
2010;1224.52;92.518.936;79.240.733;559.779.256;449.752.269;828.315.847
2011;1571.52;112.992.459;98.075.636;734.791.698;577.212.114;1.014.841.256
2012;1668.98;12.987.161;105.298.003;890.785.042;613.016.849;105.295.101
2013;1411.23;106.376.915;90.381.239;82.238.137;518.343.387;86.838.444
2014;1266.4;95.282.571;76.814.916;772.457.203;465.150.598;780.219.659
2015;1160.06;104.529.709;75.898.199;743.473.639;42.608.897;728.548.355
2016;1250.8;112.945.348;92.734.224;84.021.528;459.417.704;830.604.154
2017;1257.15;111.405.904;97.605.851;818.636.221;461.744.363;849.475.064
2018;1268.49;10.736.977;94.960.552;86.658.282;465.926.967;837.974.188
2019;1392.6;124.487.505;10.929.256;98.108.183;511.516.917;963.422.447
2020;1769.59;154.904.471;137.898.099;1.311.999.554;64.999.529;1.220.548.197
2021;1798.61;152.062.257;130.753.174;1.329.678.751;660.655.046;1.160.056.405
